TYP POROSTU,DŘEVINA,ZKRATKA
Holina,Holina,
Jehličnany,Borovice,
Jehličnany,Borovice banksovka,
Jehličnany,Borovice blatka a borovice kleč,"BLATKA, KOS"
Jehličnany,Borovice černá,
Jehličnany,Borovice kleč,
Jehličnany,Borovice lesní,BO
Jehličnany,Borovice ostatní,
Jehličnany,Borovice vejmutovka,
Jehličnany,Douglaska tisolistá,
Jehličnany,"Exoty (SMP, SMO, BO)",
Jehličnany,Jedle,
Jehličnany,Jedle bělokorá,JD
Jehličnany,Jedle obrovská,
Jehličnany,Modřín,
Jehličnany,Modřín evropský,
Jehličnany,Modřín opadavý,
Jehličnany,Ostatní jehličnaté,
Jehličnany,Smrk,
Jehličnany,Smrk pichlavý,
Jehličnany,Smrk ztepilý,SM
Jehličnany,Tis,TIS
Keře,Keře,
Listnáče,Akát,
Listnáče,Akát trnovník,
Listnáče,Babyka,
Listnáče,Bříza bradavičnatá,
Listnáče,Bříza sp.,
Listnáče,Břízy,BŘ
Listnáče,Buk,
Listnáče,Buk lesní,BK
Listnáče,Dub,
Listnáče,Dub cer,
Listnáče,Dub červený,
Listnáče,Dub letní,
Listnáče,Dub letní a zimní,
Listnáče,Dub zimní,
Listnáče,Habr,
Listnáče,Habr obecný,
Listnáče,Jabloň,
Listnáče,Jasan,
Listnáče,Jasan ztepilý,JS
Listnáče,Javor klen,KL
Listnáče,Javor mléč,
Listnáče,Javor sp.,
Listnáče,Javory ostatní,
Listnáče,Jeřáb ptačí,JŘ
Listnáče,"Jeřáb, Bříza, Vrba jíva, Topol osika","JŘ, BŘ, JIV, OS"
Listnáče,Jilm,
Listnáče,Jilm habrolistý,
Listnáče,Jilm horský,JLM
Listnáče,Jírovec maďál,
Listnáče,Kaštanovník jedlý,
Listnáče,Lípa,
Listnáče,Lípa sp.,
Listnáče,Lípa srdčitá,
Listnáče,Líska obecná,
Listnáče,Olše,
Listnáče,Olše lepkavá,
Listnáče,Olše šedá,OLŠ
Listnáče,Olše sp.,
Listnáče,Ostatní listnaté,
Listnáče,Topol linda,
Listnáče,Topol osika,OS
Listnáče,Třešeň,
Listnáče,Třešeň ptačí,
Listnáče,Vrba,
Listnáče,Vrba jíva,
Listnáče,Vrby ostatní,
Ostatní,Ostatní,
